doc_i,doc_j,exact_jaccard,review_i,review_j
10926,50717,0.9961013645224172,"Foundation has been called by science-fiction lovers all over the world as a cornerstone for science fiction. Isaac Asimov's all time best, this book tells the tale of the crumbling of the Galactic Empire and is only the beggining of a 7-book series. The way Asimov uses the analogy of the Fall of the Roman Empire has pleased readers for decades. Asimov tells the story of a planet alone at the edge of the galaxy awaiting a future already planned for it. Leaders struggle for the planets survival, for this planet, Terminus, holds the future of the Human Race in its hands. Isaac Asimov tells the thrilling tells the thrilling tale of human survival in an environment that is against it.","Foundation has been called by science-fiction lovers all over the world as a cornerstone for science fiction. Isaac Asimov's all time best, this book tells the tale of the crumbling of the Galactic Empire and is only the beggining of a 7-book series. The way Asimov uses the analogy of the Fall of the Roman Empire has pleased readers for decades. Asimov tells the story of a planet alone at the edge of the galaxy awaiting a future already planned for it. Leaders struggle for the planets survival, for this planet, Terminus, holds the future of the Human Race in its hands. Isaac Asimov tells the thrilling tale of human survival in an environment that is against it."
34654,53509,0.9955056179775281,"This inspirational survivors guide reaches into the deep tresses of the soul and highlights all the painful attacks, disappointments, betrayals and disillusionments and just ""stuff"" a female minister goes through. It gives renewed hope, inspiration and affirmed determination to those who walk this same path. The candor in this book is amazing, how Dr. Thompson just poured out her inner-self...to the glory of God! We are challenged and encouraged to ""Hold On""! This book is a ""MUST HAVE"" for all female clergy!","This inspirational survivors guide reaches into the deep tresses of the soul and highlights all the painful attacks, disappointments, betrayals and disillusionments and just ""stuff"" a female minister goes through. It gives renewed hope, inspiration and affirmed determination to those who walk this same path. The candor in this book is amazing, how Dr. Thompson just poured out her inner-self...to the glory of God! We are challenged and encouraged to ""Hold On""! This is a MUST HAVE for all female clergy!"
27002,61927,0.9930313588850174,"Whereas other reviews have focused on Tolkien's excellent story, I want to recommend Alan Lee's fantastic illustrations. Lee was one of two Tolkien illustrators called by Peter Jackson for the making of the trilogy film, The Lord of the Rings. His brilliance shines through in the recreation of Rivendell and the warm feel of Hobbiton. As a life-long fan of the Lord of the Rings, I have never been disappointed by Lee's interpretation of a scene or character. His artistic skill hits the mark dead center every time on every concept. In fact, this is one artist of a few (if not the only one) who are officially recognized by Tolkien's estate as a bard of Middle Earth. Therefore, the illustrations in this beautiful edition of a great book by the 20th century's best author are bound to appeal to you as you read it. In this book, the arguing trolls are just as I've imagined them, and the dwarves are like real people, not plump bodies with noses the size of their heads. The eagles, too, are glorious. I heartily recommend this edition of Tolkien's wonderful fantasy!","Whereas other reviews have focused on Tolkien's excellent story, I want to recommend Alan Lee's fantastic illustrations. Lee was one of two Tolkien illustrators called by Peter Jackson for the making of the trilogy film, The Lord of the Rings. His brilliance shines through in the recreation of Rivendell and the warm feel of Hobbiton. As a life-long fan of the Lord of the Rings, I have never been disappointed by Lee's interpretation of a scene or character. His artistic skill hits the mark dead center every time on every concept. In fact, his is one artist of a few (if not the only one) who are officially recognized by Tolkien's estate as a bard of Middle Earth. Therefore, the illustrations in this beautiful edition of a great book by the 20th century's best author are bound to appeal to you as you read it. In this book, the arguing trolls are just as I've imagined them, and the dwarves are like real people, not plump bodies with noses the size of their heads. The eagles, too, are glorious. I heartily recommend this edition of Tolkien's wonderful fantasy!"
30689,46404,0.9929494712103408,"I never thought that I would need to write a negative review - that is, until now. If you are looking to add to your repertoire of techniques - don't make the same mistake I did in buying this book.The techniques offered in this book have very little (if any) good information to offer - there are plenty of instances of this throughout the book.As one example, the section on ""Vibrato"", provides no tips, no exercises, in fact - no description of what good vibrato is or how it is done.Another example, the section on ""Growl"", has content so thin that it leaves the reader ""out in the cold"". The author offers only one (of several) techniques for growling, but that description is 'inadequate at best' for the production of growl.I could go on (check out the section on ""glissando""), but let me just say that the author and publisher are doing a disservice to sax students with this book.We should expect that any decent music ""how-to"" book should include good descriptions (with illustrations), tips (and/or warnings), and exercises - perhaps even recorded examples. Sorry - this book doesn't measure up.- Frank","I never thought that I would need to write a negative review - that is, until now. If you are looking to add to your repertoire of techniques - don't make the same mistake I did in buying this book.The techniques offered in this book have very little (if any) good information to offer - there are plenty of instances of this throughout the book.As one example, the section on ""Vibrato"", provides no tips, no exercises, in fact - no description of what good vibrato is or how it is done.Another example, the section on ""Growl"", has content so thin that it leaves the reader ""out in the cold"". The author offers only one (of several) techniques for growling, but that description is inadequate at best for the production of growl.I could go on (check out the section on ""glissando""), but let me just say that the author and publisher are doing a disservice to sax students with this book.We should expect that any decent music ""how-to"" book should include good descriptions (with illustrations), tips (and/or warnings), and exercises - perhaps even recorded examples. Sorry - this book doesn't measure up."
71413,102135,0.9905913978494624,"I recently finished plowing through the collected paperback editions of the classic 1940s/1950s ""Little Lulu"" comics, and wanted to put in my vote... yes! yes! yes! True, it's a little disappointing that the strips are reprinted in black-&-white and not in the original color versions, but the real genius of these works is in the draftsmanship of artists John Stanley and Irving Tripp, and once you get onto their wavelength, even these half-size B&W reprints are a pure delight. They can say so much with such economy -- a single panel of Lulu's unbridled mischief can have you laughing your head off, and here, in this multi-volume collection, you've got a real treasure trove of some of the best graphic-art humor produced in the 20th Century. Great stuff, highly recommended, and major kudos to Dark Horse for making this artwork both available and affordable.","I recently finished plowing through the collected paperback editions of the classic 1950s ""Little Lulu"" comics, and wanted to put in my vote... yes! yes! yes! True, it's a little disappointing that the strips are reprinted in black-&-white and not in the original color versions, but the real genius of these works is in the draftsmanship of artists John Stanley and Irving Tripp, and once you get onto their wavelength, even these half-size B&W reprints are a pure delight. They can say so much with such economy -- a single panel of Lulu's unbridled mischief can have you laughing your head off, and here, in this multi-volume collection, you've got a real treasure trove of some of the best graphic-art humor produced in the 20th Century. Great stuff, highly recommended, and major kudos to Dark Horse for making this artwork both available and affordable."
33266,97384,0.9891304347826086,"Persuasion is a fantastic novel by Jane Austen. I've read all of her works, and this is one of my absolute favorites. Even though it was written so long ago, the plot could be something that happened to someone today. Persuasion is about a young couple who loves each other but is persuaded to end the relationship because the girl isn't ""acceptable"" for the boy since she doesn't come from a wealthy family. They eventually meet again, and the story continues to unfold. I actually used Persuasion for the subject of one of my long papers in college, and it was so fascinating to dig into the story as well as the story behind the story. There are actually a lot of similarities between this story and Jane's own story. Jane Austen is an incredible author, and Persuasion is one of her greatest works.Comment","Persuasion is a fantastic novel by Jane Austen. I've read all of her works, and this is one of my absolute favorites. Even though it was written so long ago, the plot could be something that happened to someone today. Persuasion is about a young couple who loves each other but is persuaded to end the relationship because the girl isn't ""acceptable"" for the boy since she doesn't come from a wealthy family. They eventually meet again, and the story continues to unfold. I actually used Persuasion for the subject of one of my long papers in college, and it was so fascinating to dig into the story as well as the story behind the story. There are actually a lot of similarities between this story and Jane's own story. Jane Austen is an incredible author, and Persuasion is one of her greatest works."
43280,84636,0.9885416666666667,"A friend of my father's brought me a box full of used books when I was 9 or 10. Tucked away in the bottome was The High King, actually the last in the Prydain Chronicles....it sat for quite awhile in my bookcase before I picked it up and began reading. What an experience it turned out to be! The adventures of Taran (Assistant Pig- Keeper), Eilonwy, Gurgi, Prince Llyr, and all the other charming charaters in their quest to beat the evil Horned King opened my eyes to the wonderful world of fantasy in children's literature. Indeed, after reading the High King I ran out and spent all my allowance (preciously saved) on the rest of the 5-book series.Lloyd Alexander writes with a refreshing and unpretentious stye, neither speaking down to kids nor falling into any of the cliched storylines or dialogue of many writers of fantasy literature. Indeed, I believe many authors of modern adult fantasy would greatly benefit from studying Mr. Alexanders writing style.I credit this series for the beginning of my 25+ years of affection for Celtic, Gaelic, and Welsh mythology and would strongly recommend this series for any lover, young and old, of fantasy and mythology.","A friend of my father's brought me a box full of used books when I was 9 or 10. Tucked away in the bottome was The High King, the last in the Prydain Chronicles....it sat for quite awhile in my bookcase before I picked it up and began reading. What an experience it turned out to be! The adventures of Taran (Assistant Pig- Keeper), Eilonwy, Gurgi, Prince Llyr, and all the other charming charaters in their quest to beat the evil Horned King opened my eyes to the wonderful world of fantasy in children's literature. Indeed, after reading the High King I ran out and spent all my allowance (preciously saved) on the rest of the 5-book series.Lloyd Alexander writes with a refreshing and unpretentious stye, neither speaking down to kids nor falling into any of the cliched storylines or dialogue of many writers of fantasy literature. Indeed, I believe many authors of modern adult fantasy would greatly benefit from studying Mr. Alexanders writing style.I credit this series for the beginning of my 25+ years of affection for Celtic, Gaelic, and Welsh mythology and would strongly recommend this series for any lover, young and old, of fantasy and mythology."
29661,56279,0.9878971255673222,"The ""Road to War: Causes of Conflict"" series from OTTN Publishing features outstanding titles that introduce young readers in grades 4 through 6 to the causes of five American wars over the last two hundred years that saw significant American involvement. This series includes: Causes Of The American Revolution, Causes Of The Civil War, Causes Of World War I, Causes Of World War II, and Causes Of The Iraq War. Each title presents a truly in-depth survey of the reasons for America's involvement in these conflicts along with an articulate explanation of events and concepts. The fourth grade reading level texts are enhanced with more than 25 color photographs, illustrations, and maps. Although Causes of the American Revolution and Causes of the Civil War are available in paperback, the sturdy library binding of the hard cover edition is recommended for school and library collections.","The ""Road to War: Causes of Conflict"" series from OTTN Publishing features outstanding titles that introduce young readers in grades 4 through 6 to the causes of five American wars over the last two hundred years that saw significant American involvement. This outstanding series includes: Causes Of The American Revolution, Causes Of The Civil War, Causes Of World War I, Causes Of World War II, and Causes Of The Iraq War. Each title presents a truly in-depth survey of the reasons for America's involvement in these conflicts along with an articulate explanation of events and concepts. The fourth grade reading level texts are enhanced with more than 25 color photographs, illustrations, and maps. Although Causes of the American Revolution and Causes of the Civil War are available in paperback, the sturdy library binding of the hard cover edition is recommended for school and library collections."
48134,100220,0.9876288659793815,"Call it Courage is about a young boy named Mafatu. Mafatu is afraid of the sea because it killed his mother. He is always made fun of by the other Polynesian boys his age. Eventually, he decides to sail away. Mafatu lands on a cannibalistic island. He escapes the cannibals and returns home a courageous boy. I read this book at school and thought it was great. The only problem was all of the foreign words, most of which were not explained. Otherwise, this was an awesome book and I thoroughly encourage you to read this it. You will not be disappointed!","Call it Courage is about a young boy named Mafatu. Mafatu is afraid of the sea because it killed his mother. He is always made fun of by the other Polynesian boys his age. Eventually, he decides to sail away. Mafatu lands on a cannibalistic island. He escapes the cannibals and returns home a courageous boy. I read this book at school and thought it was great. The only problem was all of the foreign words, most of which were not explained. Otherwise, this was an awesome book and I thoroughly encourage you to read it. You will not be disappointed!"
22665,44543,0.9872408293460925,"food has always been a favorite metaphor for writers (and moviemakers). we have to eat to survive. in Like Water for Chocolate, food is the metaphor for the passions of Tita, the youngest of 3 daughters. Forced by her tyranical mother to forsake her true love, Tita watches as he marries her oldest sister. she pours her emotions into the food. in every chapter, her emotions are poured into the food she makes. it is only through her cooking, that Tita can express her feelings. This is a good book about the tyranny of tradition and the liberation of food. i would recmmend this book w/o reservatoionthe recipes are pretty useless to the modern cook. if you want to concot some of the food mentioned, i would check a mexican cookbook for the modern equivalent.","food has always been a favorite metaphor for writers (and moviemakers). we have to eat to survive. in Like Water for Chocolate, food is the metaphor for the passions of Tita, the youngest of 3 daughters. Forced by her tyranical mother to forsake her true love, Tita watches as he marries her oldest sister. she pours her emotions into the food. in every chapter, her emotions are poured into the food she makes. it is only through her cooking, that Tita can express her feelings. This is a good book about the tyranny of tradition and the liberation of food. i would recmmend this book w/o reservationthe recipes are pretty useless to the modern cook. if you want to concot some of the food mentioned, i would check a mexican cookbook for the modern equivalent."
