i,j,i_text,j_text,similarity
288,468,"A classic, terrific story, I would recommend it to anyone!",I recommend it to anyone!!!,0.5
430,977,The book was in good condition and it proved to be a valid transaction. I would recommend the seller.,I received the book in good condition and in a timely manner,0.38095238095238093
430,839,The book was in good condition and it proved to be a valid transaction. I would recommend the seller.,I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,0.36666666666666664
839,844,I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,Great purchase Great purchase Great purchase Great purchase Great purchase and came when it was supposed to condition was also as stated I was very happy with this,0.36666666666666664
839,977,I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,I received the book in good condition and in a timely manner,0.36
150,709,"This book is very interesting and you will not want to put it down once you start reading it. Also the figuring out who the killer is, iz fun!",You will not want to put this book down. Loved it. Filler words here until I get to the required twenty.,0.3235294117647059
23,519,I received the book in a reasonable time. The item is as it is described. I would recommend buying this book.,I would definately recommend this book. This is a very Heartwarming story in more ways than one.,0.32
778,851,One of the best books i have ever read if not the best an amazing story i would reccomend this book to kids and adults of all ages,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.3157894736842105
208,778,Absolutely the best book I've ever read of his. One of myfavorite books of all times.,One of the best books i have ever read if not the best an amazing story i would reccomend this book to kids and adults of all ages,0.3103448275862069
328,939,"I am not a marketing person and I seldom read non-fiction, but I found this book to be 1) very informative 2) easy to follow the logic 3) diverse examples of the authors point and 4) fairly well written. I found the book so interesting, I read it in 3 days.","I found this book to be informative, easy to read and very witty. So many of the books on sex are written in a manner that makes the layman feel stupid. This book is written with a style that makes the subject understandable and non-threatening. I will definitely recommend it to my clients and friends.",0.3050847457627119
153,851,This was one of the cutest books I had ever read. It was educational and quite interesting. It was full of those things that you are curious about but too embarrassed to ask. I have really enjoyed it and have recommended it to several people.,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.2978723404255319
851,932,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.","I really liked this book. ""Lord of The Flies"" is one of the best books I have ever read. I really liked how it was written. It kept me interested in it all the way. I loved the action in the book. I'm glad that Ralph made it at the end.",0.2978723404255319
167,923,"I enjoyed the book very much, and it had a good flow to it. It was very easy to read. The message was one that can never get old, but it was a touch ""sappy"".","This book was very easy to read and insightful into a very misunderstood religion. While reading it, one feels very close to the rituals and traditions.",0.2972972972972973
23,430,I received the book in a reasonable time. The item is as it is described. I would recommend buying this book.,The book was in good condition and it proved to be a valid transaction. I would recommend the seller.,0.2962962962962963
778,991,One of the best books i have ever read if not the best an amazing story i would reccomend this book to kids and adults of all ages,"To me, this is one of Linda Fairstein's best and I have enjoyed all her books about Alex Cooper. Plainly, I just could not put down this book! Read it, I think you will like it too.",0.29545454545454547
349,709,"This is a book that you will not want to put down!! Wonderful, sitting on the edge book! Feels like you are sitting beside Chris in the courtroom.",You will not want to put this book down. Loved it. Filler words here until I get to the required twenty.,0.29411764705882354
